iter	MAE
186	745985.7415
187	744969.8241
188	744218.5988
189	743331.7434
190	742704.9319
191	741964.0281
192	741101.0997
193	740172.4501
194	739502.6734
195	738753.9057
196	738269.843
197	737563.6584
198	737198.181
199	736397.018
200	735537.353
201	734616.3488
202	733782.7823
203	733288.9406
204	732594.6693
205	732085.8107
206	731417.246
207	730958.0648
208	730090.3232
209	728957.7787
210	728298.7892
211	727718.7017
212	726985.2548
213	726342.8583
214	725093.3006
215	724207.0257
216	723638.0928
217	722561.3857
218	721964.8407
219	721494.3575
220	720974.5243
221	720454.6761
222	719595.7826
223	718733.3971
224	718130.4731
225	717353.2695
226	716534.2591
227	715818.6232
228	714829.8905
229	714392.2215
230	713335.6825
231	712777.2655
232	712155.153
233	711620.9004
234	711067.4828
235	710401.0829
236	709626.5263
237	708968.0117
238	708536.7875
239	707635.8635
240	707429.2752
241	706674.8173
242	706308.7128
243	705860.821
244	705124.348
245	704499.0898
246	703959.7676
247	703397.655
248	702994.6925
249	702418.1749
250	701933.263
251	701160.0512
252	700777.1459
253	700022.5176
254	699408.8265
255	698947.0015
256	698511.6213
257	698290.3333
258	697857.1828
259	697399.9679
260	696911.084
261	696248.0216
262	695680.9507
263	695222.9005
264	694693.4694
265	694337.161
266	693962.129
267	693648.7849
268	693216.3675
269	692959.754
270	692634.1296
271	692285.1881
272	691840.2067
273	691316.5705
274	690988.8007
275	690566.1604
276	690293.6461
277	689968.1893
278	689956.4367
279	689453.3153
280	688895.8998
281	688193.7905
282	687890.3643
283	687552.4715
284	686934.4331
285	686377.6016
286	685853.2328
287	685453.6686
288	685071.6043
289	684661.4749
290	684168.4809
291	683919.4405
292	683301.7545
293	682885.4139
294	682506.848
295	682204.4098
296	681730.1129
297	681429.2116
298	681028.5901
299	680791.0432
300	680091.6505
301	679857.8164
302	679423.8855
303	679016.5622
304	678671.454
305	678451.6687
306	677978.7044
307	677496.6294
308	677171.1337
309	676651.8863
310	676130.0869
311	675716.8671
312	675380.8504
313	675070.6651
314	674377.8815
315	674027.0094
316	673767.1471
317	673179.616
318	672894.4956
319	672342.5413
320	671996.3906
321	671545.2975
322	671048.2652
323	670469.2784
324	669774.4917
325	669440.2321
326	669051.2116
327	668794.0258
328	668438.2314
329	668181.8966
330	667683.1857
331	667462.2558
332	667188.9873
333	666848.0008
334	666308.3455
335	666067.788
336	665770.4984
337	665435.2235
338	665148.8293
339	664655.5328
340	664421.4693
341	663911.4707
342	663498.3531
343	663064.0631
344	662790.8494
345	662518.3783
346	662038.9599
347	661877.0488
348	661635.7403
349	661140.4873
350	660556.455
351	660382.9624
352	660180.0697
353	659951.0621
354	659533.1592
355	658989.0281
356	658744.8874
357	658353.064
358	658019.5967
359	657659.6473
360	657310.2885
361	656704.1853
362	656352.54
363	656141.3165
364	655904.91
365	655684.3513
366	655399.9986
367	655101.0044
368	654909.5489
369	654635.4542
370	654174.9915
371	653846.1259
372	653656.6071
373	653080.95
374	652689.794
375	652492.6689
376	652263.4678
377	651976.3148
378	651733.1605
379	651447.713
380	651264.8308
381	651098.2776
382	650407.7311
383	650065.9472
384	649884.7072
385	649624.152
386	649384.8536
387	649100.762
388	648921.0213
389	648513.4393
390	648240.449
391	647886.5047
392	647541.5268
393	647170.6214
394	646971.2043
395	646804.2916
396	646543.9706
397	646304.1522
398	646067.5507
399	645827.9332
400	645429.3704
401	645237.184
402	644954.9495
403	644812.1359
404	644545.4058
405	644331.9611
406	643869.4303
407	643505.6385
408	642969.8838
409	642709.7956
410	642536.7684
411	642343.8597
412	642134.4226
413	641775.797
414	641510.7971
415	641137.043
416	640708.3369
417	640426.5136
418	640132.1048
419	640003.7429
420	639599.2509
421	639377.6421
422	639037.0765
423	638868.6607
424	638735.0224
425	638464.9802
426	638111.7644
427	637815.0563
428	637675.9744
429	637292.0545
430	636759.8458
431	636509.3417
432	636251.3545
433	636055.5563
434	635743.8936
435	635316.1263
436	635038.7888
437	634809.4301
438	634401.0832
439	634262.0561
440	633998.1223
441	633842.3103
442	633424.278
443	633183.256
444	632984.6631
445	632804.1549
446	632345.1488
447	631997.3297
448	631705.9021
449	631381.4445
450	631213.6102
451	631010.0716
452	630754.5133
453	630519.349
454	630314.9897
455	630087.9918
456	629923.7721
457	629489.2278
458	629381.5035
459	629149.0871
460	628939.6174
461	628631.4643
462	628374.4483
463	628164.0862
464	627881.6078
465	627562.8521
466	627273.3133
467	627017.1382
468	626801.5092
469	626641.6843
470	626433.7225
471	626020.2202
472	625785.9375
473	625684.2185
474	625452.4604
475	625279.985
476	624917.5304
477	624571.8722
478	624406.6248
479	624220.454
480	623868.5391
481	623704.0187
482	623537.7441
483	623332.3986
484	622831.1999
485	622593.6954
486	622450.735
487	622196.7901
488	621978.2659
489	621674.6637
490	621434.5465
491	621073.6846
492	620644.573
493	620367.6828
494	620201.9149
495	619850.8507
496	619630.8687
497	619215.3675
498	619026.4455
499	618815.3806
500	618627.8009
501	618280.8676
502	618012.3094
503	617814.597
504	617680.4721
505	617511.6868
506	617186.3453
507	616973.7796
508	616698.1457
509	616393.2581
510	616003.9535
511	615930.9921
512	615642.4074
513	615291.5388
514	615104.3548
515	614685.0231
516	614514.3032
517	614309.2456
518	614109.0911
519	613778.053
520	613591.7446
521	613292.8565
522	613142.2486
523	612989.5264
524	612844.7067
525	612654.8771
526	612404.2264
527	612273.0973
528	612119.9645
529	611864.3704
530	611571.1292
531	611340.2203
532	611180.3859
533	611024.9951
534	610918.2796
535	610723.6975
536	610505.3908
537	610157.1649
538	609977.1659
539	609774.0144
540	609489.4208
541	609222.2376
