iter	Passed	Remaining
296	22699	43028
297	22762	42927
298	22841	42857
299	22906	42759
300	22971	42661
301	23031	42554
302	23095	42455
303	23148	42336
304	23213	42241
305	23319	42219
306	23395	42143
307	23468	42060
308	23541	41977
309	23598	41869
310	23672	41788
311	23751	41717
312	23819	41627
313	23887	41535
314	23954	41445
315	24021	41353
316	24101	41284
317	24169	41194
318	24228	41089
319	24335	41066
320	24397	40965
321	24486	40912
322	24561	40834
323	24653	40785
324	24747	40738
325	24818	40654
326	24876	40548
327	24932	40439
328	25027	40393
329	25082	40283
330	25172	40229
331	25230	40124
332	25306	40049
333	25406	40011
334	25490	39948
335	25565	39869
336	25692	39873
337	25773	39803
338	25854	39734
339	25925	39651
340	26013	39592
341	26107	39543
342	26177	39457
343	26235	39353
344	26293	39249
345	26385	39197
346	26466	39128
347	26521	39019
348	26581	38920
349	26641	38820
350	26695	38712
351	26803	38682
352	26896	38630
353	26994	38585
354	27053	38483
355	27120	38395
356	27187	38305
357	27243	38201
358	27314	38119
359	27371	38015
360	27459	37956
361	27531	37874
362	27611	37804
363	27696	37739
364	27785	37682
365	27863	37608
366	27943	37537
367	28040	37489
368	28126	37425
369	28184	37325
370	28249	37234
371	28341	37179
372	28413	37097
373	28519	37059
374	28594	36982
375	28655	36886
376	28746	36828
377	28835	36769
378	28927	36712
379	28997	36628
380	29082	36562
381	29140	36463
382	29220	36392
383	29286	36303
384	29376	36243
385	29483	36204
386	29561	36130
387	29636	36053
388	29713	35976
389	29792	35903
390	29864	35821
391	29931	35733
392	30022	35675
393	30099	35600
394	30195	35546
395	30290	35492
396	30351	35397
397	30432	35326
398	30517	35259
399	30626	35219
400	30738	35184
401	30816	35109
402	30892	35031
403	30947	34930
404	31018	34847
405	31095	34771
406	31159	34680
407	31253	34624
408	31329	34546
409	31411	34476
410	31501	34414
411	31575	34334
412	31658	34265
413	31742	34195
414	31819	34119
415	31899	34046
416	31953	33945
417	32017	33855
418	32102	33788
419	32204	33737
420	32265	33645
421	32326	33551
422	32373	33445
423	32437	33355
424	32493	33257
425	32598	33210
426	32673	33132
427	32733	33039
428	32803	32956
429	32875	32875
430	32958	32805
431	33030	32724
432	33091	32632
433	33142	32531
434	33218	32454
435	33293	32377
436	33338	32270
437	33398	32178
438	33470	32098
439	33542	32017
440	33617	31940
441	33727	31896
442	33802	31819
443	33907	31768
444	33983	31692
445	34068	31623
446	34128	31532
447	34225	31475
448	34280	31379
449	34349	31295
450	34407	31203
451	34473	31117
452	34556	31047
453	34602	30943
454	34691	30879
455	34745	30783
456	34821	30707
457	34883	30617
458	34928	30515
459	34997	30432
460	35079	30361
461	35190	30315
462	35254	30229
463	35297	30124
464	35377	30051
465	35466	29987
466	35559	29925
467	35637	29850
468	35713	29773
469	35773	29684
470	35811	29577
471	35889	29502
472	35949	29413
473	36015	29328
474	36078	29242
475	36161	29172
476	36212	29076
477	36263	28980
478	36354	28916
479	36443	28851
480	36540	28791
481	36641	28735
482	36702	28647
483	36744	28545
484	36815	28465
485	36880	28381
486	36962	28310
487	37053	28245
488	37140	28177
489	37200	28090
490	37287	28022
491	37346	27933
492	37409	27848
493	37491	27777
494	37536	27678
495	37578	27577
496	37665	27510
497	37732	27428
498	37817	27358
499	37887	27279
500	37957	27198
501	38017	27112
502	38089	27033
503	38148	26946
504	38210	26860
505	38267	26771
506	38342	26696
507	38402	26609
508	38476	26532
509	38516	26433
510	38588	26354
511	38665	26280
512	38745	26207
513	38813	26127
514	38895	26056
515	38941	25960
516	38997	25872
517	39084	25804
518	39214	25765
519	39282	25684
520	39331	25591
521	39429	25530
522	39508	25457
523	39572	25374
524	39640	25294
525	39709	25214
526	39760	25123
527	39835	25048
528	39894	24962
529	39962	24882
530	40006	24787
531	40112	24730
532	40181	24651
533	40258	24577
534	40328	24498
535	40376	24406
536	40446	24328
537	40537	24262
538	40570	24161
539	40630	24077
540	40717	24008
541	40795	23935
542	40851	23848
543	40922	23771
544	41003	23699
545	41081	23625
546	41171	23558
547	41218	23467
548	41264	23375
549	41325	23292
550	41412	23224
551	41495	23153
552	41585	23086
553	41653	23007
554	41743	22940
555	41817	22864
556	41914	22800
557	41967	22713
558	42029	22631
559	42078	22542
560	42144	22461
561	42194	22373
562	42256	22291
563	42313	22206
564	42386	22130
565	42453	22051
566	42536	21980
567	42591	21895
568	42695	21835
569	42750	21750
570	42801	21663
571	42882	21591
572	42964	21519
573	43039	21444
574	43118	21371
575	43191	21295
576	43248	21211
577	43331	21141
578	43407	21066
579	43478	20989
580	43587	20931
581	43672	20860
582	43727	20776
583	43837	20717
584	43916	20644
585	43997	20572
586	44058	20490
587	44170	20432
588	44231	20350
589	44294	20270
590	44357	20189
591	44429	20113
592	44496	20034
593	44574	19961
594	44662	19891
595	44749	19821
596	44865	19764
597	44951	19694
598	45022	19617
599	45091	19539
600	45205	19481
601	45276	19404
602	45353	19329
603	45443	19260
604	45496	19176
605	45549	19091
606	45599	19006
607	45682	18934
608	45751	18856
609	45827	18781
610	45920	18713
611	46022	18649
612	46086	18569
613	46184	18503
614	46263	18430
615	46309	18343
616	46361	18259
617	46461	18193
618	46516	18110
619	46562	18024
620	46636	17948
621	46701	17869
622	46760	17788
623	46819	17707
624	46898	17633
625	47000	17568
626	47083	17496
627	47152	17419
628	47223	17342
629	47293	17265
630	47364	17189
631	47446	17116
632	47517	17040
633	47590	16964
634	47671	16891
635	47739	16813
636	47836	16746
637	47930	16677
638	48032	16612
639	48079	16527
640	48146	16449
641	48234	16378
642	48318	16306
643	48407	16235
644	48474	16158
645	48584	16094
646	48666	16021
647	48742	15946
648	48816	15870
649	48922	15805
650	49003	15732
651	49052	15648
652	49125	15572
653	49176	15489
654	49226	15406
655	49297	15330
656	49363	15252
657	49444	15178
658	49509	15100
659	49614	15034
660	49690	14959
661	49747	14879
662	49793	14795
663	49868	14720
664	49992	14659
665	50076	14586
666	50155	14512
667	50220	14434
668	50314	14364
669	50384	14288
670	50463	14214
671	50576	14149
672	50661	14076
673	50743	14003
674	50830	13931
675	50919	13859
676	51025	13792
677	51126	13724
678	51188	13645
679	51281	13574
680	51377	13504
681	51446	13427
682	51523	13352
683	51593	13275
684	51648	13194
685	51716	13117
686	51792	13042
687	51869	12967
688	51955	12894
689	52050	12824
690	52121	12747
691	52211	12675
692	52262	12594
693	52329	12516
694	52399	12440
695	52488	12367
696	52568	12293
697	52648	12219
698	52712	12141
699	52802	12069
700	52878	11993
701	52932	11913
702	53029	11842
703	53106	11767
704	53178	11691
705	53247	11614
706	53332	11541
707	53417	11468
708	53488	11391
709	53567	11316
710	53639	11240
711	53701	11162
712	53786	11089
713	53855	11012
714	53935	10938
715	53986	10857
716	54081	10786
717	54185	10716
718	54281	10644
719	54371	10572
720	54475	10502
721	54590	10434
722	54692	10363
723	54767	10287
724	54858	10214
725	54938	10140
726	55030	10067
727	55101	9990
728	55190	9917
729	55272	9843
730	55335	9765
731	55407	9688
732	55471	9611
733	55540	9534
734	55608	9457
735	55681	9381
736	55727	9300
737	55784	9221
738	55855	9145
739	55926	9069
740	56014	8995
741	56089	8919
742	56200	8849
743	56286	8775
744	56341	8696
745	56440	8624
746	56495	8546
747	56565	8469
748	56634	8393
749	56724	8319
750	56787	8242
751	56857	8165
752	56954	8093
753	57019	8015
754	57071	7937
755	57160	7863
756	57230	7786
757	57294	7709
758	57390	7636
759	57457	7560
760	57537	7485
761	57599	7407
762	57665	7331
763	57731	7254
764	57777	7174
765	57896	7104
766	57995	7032
767	58064	6955
768	58116	6877
769	58210	6803
770	58302	6730
771	58380	6654
772	58479	6581
773	58582	6509
774	58673	6435
775	58764	6361
776	58838	6285
777	58892	6207
778	58960	6130
779	59010	6052
780	59076	5975
781	59153	5900
782	59242	5825
783	59326	5751
784	59419	5677
785	59497	5601
786	59567	5525
787	59625	5448
788	59694	5371
789	59751	5294
790	59841	5220
791	59925	5145
792	60008	5070
793	60092	4995
794	60177	4920
795	60245	4843
796	60344	4770
797	60453	4696
798	60519	4620
799	60592	4544
800	60655	4467
801	60728	4391
802	60825	4317
803	60921	4243
804	60991	4167
805	61056	4090
806	61171	4017
807	61232	3940
808	61311	3865
809	61388	3789
810	61443	3712
811	61532	3637
812	61603	3561
813	61672	3485
814	61769	3410
815	61881	3336
816	61960	3261
817	62069	3186
818	62163	3111
819	62238	3036
820	62338	2961
821	62415	2885
822	62499	2809
823	62568	2733
824	62639	2657
825	62716	2581
826	62795	2505
827	62900	2430
828	62969	2354
829	63040	2278
830	63148	2203
831	63225	2127
832	63317	2052
833	63386	1976
834	63454	1899
835	63533	1823
836	63592	1747
837	63659	1671
838	63706	1594
839	63756	1518
840	63830	1442
841	63891	1365
842	63964	1289
843	64046	1214
844	64117	1138
845	64197	1062
846	64254	986
847	64322	910
848	64370	834
849	64476	758
850	64585	683
851	64654	607
852	64740	531
853	64811	455
854	64873	379
855	64955	303
856	65058	227
857	65173	151
858	65262	75
859	65335	0
