iter	MAE
381	422170.506
382	422009.3109
383	421890.3674
384	421594.8665
385	421096.7495
386	421012.3558
387	420925.3609
388	420850.9183
389	420638.2799
390	420512.0155
391	420303.3556
392	420142.8565
393	419998.4528
394	419583.6109
395	419289.9463
396	419076.4902
397	418975.9658
398	418878.5542
399	418406.9103
400	418328.6672
401	418126.9316
402	418048.1145
403	417917.5249
404	417414.2571
405	416983.6656
406	416894.2236
407	416760.6287
408	416473.4796
409	416408.6739
410	416191.4137
411	415976.2763
412	415850.5768
413	415543.1439
414	415359.6128
415	415266.9541
416	415170.2785
417	415038.9544
418	414874.5954
419	414750.7207
420	414668.1582
421	414540.3326
422	414442.7014
423	414245.2797
424	414186.5567
425	413865.987
426	413840.5058
427	413731.9992
428	413666.7083
429	413588.918
430	413351.0712
431	413143.0425
432	413058.9186
433	412966.3197
434	412883.7803
435	412798.9516
436	412665.2536
437	412572.8226
438	412542.8
439	412521.7167
440	412467.5525
441	412363.6376
442	412254.6071
443	412141.9704
444	411996.4982
445	411794.7561
446	411760.0372
447	411711.4302
448	411633.3151
449	411620.3807
450	411089.3171
451	410948.1941
452	410848.6857
453	410611.4059
454	410443.47
455	410367.6883
456	410169.085
457	410002.1442
458	409945.8557
459	409837.2477
460	409782.7436
461	409743.4446
462	409572.61
463	409506.9007
464	409380.1199
465	409277.4584
466	409098.5805
467	408646.5665
468	408593.5196
469	408538.6807
470	408501.6802
471	408355.1212
472	408183.3825
473	408011.5
474	407908.8229
475	407833.4176
476	407818.5763
477	407772.9415
478	407547.7253
479	407355.624
480	407218.6838
481	407131.745
482	407015.8005
483	406808.5179
484	406634.938
485	406455.499
486	406309.7928
487	406154.6881
488	406068.4611
489	405868.4806
490	405805.8523
491	405702.2228
492	405661.3677
493	405548.4124
494	405541.1743
495	405425.9355
496	405332.3457
497	405085.0529
498	404975.8432
499	404906.7789
500	404896.1798
501	404791.6853
502	404760.3358
503	404577.2861
504	404429.2184
505	404323.3462
506	404201.661
507	404053.8547
508	403971.3024
509	403744.0919
510	403724.0646
511	403686.015
512	403525.7562
513	403429.4668
514	403168.3861
515	403152.4313
516	403044.5774
517	402776.5752
518	402657.2428
519	402543.6811
520	402434.8582
521	402266.48
522	402071.9008
523	402001.2023
524	401975.4726
525	401842.2288
526	401633.4478
527	401504.5183
528	401205.1572
529	401069.9558
530	401024.9963
531	400950.7847
532	400696.7161
533	400546.6229
534	400510.8187
535	400448.8485
536	400411.2415
537	400294.3349
538	400294.0504
539	400108.9371
540	400056.9017
541	399986.1592
542	399963.013
543	399851.4551
544	399774.3892
545	399643.0216
546	399535.1292
547	399496.1576
548	399404.1776
549	399270.3053
550	399225.6753
551	399112.161
552	399052.0623
553	398902.5669
554	398771.5266
555	398542.0083
556	398409.5302
557	398311.2638
558	398125.7761
559	398055.0676
560	398017.723
561	397937.1338
562	397860.7063
563	397810.7967
564	397605.8069
565	397370.3095
566	397105.6132
567	396957.0015
568	396895.8954
569	396849.5306
570	396619.089
571	396607.8457
572	396554.0186
573	396396.3398
574	396272.1514
575	396174.1779
576	396003.1677
577	395880.3538
578	395821.8206
579	395765.1193
580	395688.6801
581	395652.227
582	395605.8315
583	395420.4675
584	395394.1567
585	395253.0141
586	395099.1881
587	394943.4984
588	394608.9483
589	394355.9955
590	394232.588
591	394046.1315
592	393886.9092
593	393631.3937
594	393619.2631
595	393512.6948
596	393466.7033
597	393276.9432
598	393198.7713
599	392957.3287
600	392853.7315
601	392666.0266
602	392502.1974
603	392436.6385
604	392346.2391
605	392316.6916
606	392309.9752
607	392187.4088
608	392173.9087
609	392072.9026
610	391783.7252
611	391642.1868
612	391554.6307
613	391304.2571
614	391229.1987
615	391179.3117
616	391058.5706
617	390787.1329
618	390784.473
619	390613.8603
620	390491.21
621	390440.4115
622	390369.4992
623	390310.7056
624	390250.2963
625	390066.4983
626	389982.8065
627	389896.0744
628	389802.733
629	389713.6618
630	389657.9118
631	389615.206
632	389569.2948
633	389433.3735
634	389414.5788
635	389311.7341
636	389224.1167
637	389167.2724
638	389106.8005
639	388764.4971
640	388596.021
641	388571.4509
642	388442.6591
643	388325.1659
644	388263.5852
645	387955.2853
646	387921.4728
647	387799.5167
648	387754.6035
649	387590.6368
650	387565.927
651	387531.2202
652	387491.6952
653	387446.5871
654	387332.3718
655	387250.1923
656	387205.5823
657	387072.044
658	387030.2552
659	386981.452
660	386961.5838
661	386878.1872
662	386612.9627
663	386607.7408
664	386536.6946
665	386403.035
666	386360.5662
667	386329.2858
668	386253.9231
669	386192.0517
670	385985.7965
671	385782.5072
672	385562.3537
673	385524.2516
674	385441.2571
675	385318.3746
676	385181.3267
677	385013.8309
678	384952.1761
679	384867.6821
680	384859.9817
681	384842.758
682	384776.8486
683	384573.585
684	384352.9849
685	384335.2212
686	384281.5066
687	384140.4698
688	384037.165
689	384027.9348
690	383993.302
691	383902.7209
692	383670.7635
693	383555.0345
694	383376.3221
695	383336.3764
696	383255.9884
697	383181.8828
698	383164.6346
699	383089.9557
700	382970.4374
701	382796.9438
702	382733.1956
703	382659.1226
704	382526.0222
705	382391.1984
706	382296.8356
707	382068.0473
708	382039.9763
709	381986.9466
710	381786.9795
711	381671.5817
712	381662.2626
713	381660.9873
714	381558.8642
715	381376.553
716	381315.5803
717	381200.2376
718	381067.5792
719	380873.8848
720	380760.4167
721	380640.3775
722	380461.626
723	380329.4667
724	380157.9613
725	380122.8921
726	379958.8256
727	379875.432
728	379726.3506
729	379601.7639
730	379502.5547
731	379431.0691
732	379300.2601
733	379247.5269
734	379178.2863
735	379075.1328
736	379063.8024
737	378898.0235
738	378847.0039
739	378750.9817
740	378668.7006
741	378609.1853
742	378570.8257
743	378494.4416
744	378333.1817
745	378198.2598
746	378146.1191
747	378100.4686
748	378052.4304
749	377869.676
750	377785.1735
751	377755.5593
752	377645.1685
753	377442.4179
754	377379.753
755	377340.1152
756	377264.9034
757	377195.8022
758	377086.9809
759	377022.0428
760	376958.9305
761	376851.2536
762	376829.3011
763	376771.9919
764	376714.7578
765	376627.6408
766	376526.4337
767	376500.2341
768	376377.952
769	376366.9482
770	376308.7151
771	376288.8742
772	375959.0288
773	375808.6414
774	375778.7131
775	375765.3192
776	375740.8153
777	375737.4303
778	375727.7823
779	375368.0622
780	375273.6592
781	375270.7607
782	375231.3174
783	375162.2246
784	375034.949
785	375019.9641
786	374938.1104
787	374785.5024
788	374725.1624
789	374547.4057
790	374515.3978
791	374508.0439
792	374458.6808
793	374303.4523
794	374253.0658
795	373987.7409
796	373966.6716
797	373901.5983
798	373838.1873
799	373758.5155
800	373749.3138
801	373730.2804
802	373610.5942
803	373267.4419
804	373236.9893
805	373049.7883
806	372919.5015
807	372867.3613
808	372847.2774
809	372761.8766
810	372739.9816
811	372588.3765
812	372545.4558
813	372350.9449
814	372291.8706
815	372004.6397
816	371912.2843
817	371837.4557
818	371748.3946
819	371692.7695
820	371527.1693
821	371471.4365
822	371441.3797
823	371339.4797
824	370894.9809
825	370782.9064
826	370720.6691
827	370711.0797
828	370704.2677
829	370633.4317
830	370498.5475
831	370482.1452
832	370398.5758
833	370387.749
834	370304.0757
835	370089.1992
836	370050.5398
837	369962.3503
838	369932.5031
839	369901.7448
840	369812.7018
841	369673.205
842	369506.8617
843	369461.5683
844	369362.6228
845	369324.3787
846	369218.6733
847	369156.5582
848	369063.6894
849	368982.6977
850	368881.8004
851	368788.9462
852	368692.508
853	368657.2901
854	368607.4533
855	368499.8432
856	368492.5351
857	368404.2342
858	368280.7788
859	368241.61
